MK_ID,Name_Hebrew,Faction,Position,X_Account,Phone,Email,Profile_URL
771,"אבי דיכטר","הליכוד",SUPPORT,"@avidichter","02-6408422","davraham@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/771
1126,"אביחי אברהם בוארון","הליכוד",SUPPORT,"@AvichayBuaron","02-6753333","hak_boaron@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1126
976,"אופיר כץ","הליכוד",NEUTRAL,"@OfirKatzMK","02-6408465","okatz@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/976
1123,"אושר שקלים","הליכוד",NEUTRAL,"@OsherShkalim","02-6408105","oshkalim@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1123
1100,"אלי דלל","הליכוד",NEUTRAL,"@elidallal32","02-6408022","edalal@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1100
1111,"אליהו רביבו","הליכוד",NEUTRAL,"@revivoeliyahu","02-6408236","erevivo@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1111
953,"אמיר אוחנה","הליכוד",NEUTRAL,"@AmirOhana","02-6408406","amiro@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/953
987,"אריאל קלנר","הליכוד",NEUTRAL,"@ArielKallner","02-6496217","kallner@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/987
1095,"בועז ביסמוט","הליכוד",NEUTRAL,"@BismuthBoaz","02-6408381","bbismut@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1095
90,"בנימין נתניהו","הליכוד",NEUTRAL,"@netanyahu","02-6403227","bnetanyahu@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/90
723,"גילה גמליאל","הליכוד",NEUTRAL,"@GilaGamliel","02-6408430, 02-6408431","ggamliel@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/723
1059,"גלית דיסטל אטבריאן","הליכוד",NEUTRAL,"@GalitDistel","02-6408145","gdistal@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1059
914,"דוד ביטן","הליכוד",NEUTRAL,"@davidbitan","02-6408033, 02-6408821","dbitan@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/914
1116,"דן אילוז","הליכוד",NEUTRAL,"@dillouz","02-6406506","danillouz@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1116
992,"חוה אתי עטייה","הליכוד",NEUTRAL,"@ettyatia","02-6753333","hatia@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/992
1105,"חנוך דב מלביצקי","הליכוד",NEUTRAL,"@hanochmilwidsky","02-6408895","chmelavitzky@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1105
1098,"טלי גוטליב","הליכוד",NEUTRAL,"@TallyGotliv","02-6408722","tgotlib@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1098
1,"יולי יואל אדלשטיין","הליכוד",NEUTRAL,"@YuliEdelstein","02-6408460","yedelstein@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1
826,"יריב לוין","הליכוד",NEUTRAL,"@yariv_levin","02-6408411","ylevin@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/826
69,"ישראל כץ","הליכוד",NEUTRAL,"@Israel_katz","","yiskatz@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/69
1002,"מאי גולן","הליכוד",NEUTRAL,"@GolanMay","02-6496267, 02-6408054","mgolan@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1002
1109,"משה סעדה","הליכוד",NEUTRAL,"@MosheSaada1","02-6408600","mosaada@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1109
1124,"משה פסל","הליכוד",NEUTRAL,"@moshiko_passal","02-6753333","hak_passal@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1124
1045,"ניסים ואטורי","הליכוד",NEUTRAL,"@nissimv","02-6408070","nvaturi@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/1045
974,"ניר ברקת","הליכוד",NEUTRAL,"@NirBarkat","02-6408416","nbarkat@knesset.gov.il",https://m.knesset.gov.il/mk/apps/mk/mk-personal-details/974
